courseno,semester,acadyear,lectsection,labsection,studentno
CMSC 123,2,2010-2011,Y,3L,2011-44642
CMSC 123,1,2010-2011,Z,2L,2016-96049
CMSC 191,1,2013-2014,W,2L,2017-63051
CMSC 150,1,2013-2014,X,3L,2015-89046
CMSC 131,1,2006-2007,V,6L,2015-94654
CMSC 165,1,2010-2011,U,4L,2014-27454
CMSC 123,1,2012-2013,U,1L,2012-07804
CMSC 11,2,2015-2016,Z,4L,2011-35189
CMSC 125,1,2007-2008,X,1L,2015-53060
CMSC 123,2,2006-2007,W,2L,2019-10469
CMSC 161,2,2010-2011,Y,2L,2013-87437
CMSC 21,2,2007-2008,Y,4L,2015-19019
CMSC 190-2,1,2015-2016,X,1L,2019-82639
CMSC 131,1,2010-2011,U,6L,2012-62621
CMSC 123,2,2009-2010,U,3L,2011-58556
CMSC 161,2,2008-2009,V,3L,2010-16150
CMSC 190-1,1,2013-2014,V,4L,2019-93568
CMSC 190-2,2,2015-2016,Y,5L,2013-34102
CMSC 123,2,2011-2012,U,5L,2018-18129
CMSC 123,1,2012-2013,U,6L,2010-48873
CMSC 11,2,2006-2007,Y,3L,2016-85159
CMSC 132,2,2009-2010,X,6L,2011-54325
CMSC 161,1,2008-2009,X,3L,2014-91498
CMSC 190-1,1,2006-2007,U,3L,2012-54301
CMSC 2,2,2008-2009,W,4L,2014-95405
CMSC 124,1,2006-2007,U,2L,2013-28992
CMSC 11,1,2010-2011,U,6L,2010-79680
CMSC 150,1,2015-2016,X,3L,2010-73634
CMSC 2,1,2008-2009,Y,4L,2013-54071
CMSC 123,2,2013-2014,V,4L,2019-63289
CMSC 21,1,2009-2010,Y,4L,2019-21153
CMSC 191,2,2012-2013,V,2L,2011-72056
CMSC 165,1,2009-2010,V,3L,2017-10097
CMSC 165,2,2015-2016,Z,4L,2014-73241
CMSC 132,1,2012-2013,Y,4L,2017-90121
CMSC 123,2,2011-2012,U,6L,2014-68458
CMSC 125,1,2014-2015,Y,4L,2015-58960
CMSC 130,2,2014-2015,V,6L,2012-60347
CMSC 198,2,2009-2010,W,1L,2010-85645
CMSC 22,1,2014-2015,Z,5L,2017-03910
CMSC 130,1,2007-2008,Y,4L,2016-02202
CMSC 11,2,2012-2013,U,3L,2014-17044
CMSC 124,1,2014-2015,W,1L,2019-49671
CMSC 125,2,2010-2011,U,1L,2014-15648
CMSC 130,1,2006-2007,V,3L,2010-46608
CMSC 198,1,2010-2011,X,1L,2011-25348
CMSC 125,1,2013-2014,V,2L,2019-05448
CMSC 21,1,2012-2013,Y,6L,2018-62460
CMSC 123,1,2010-2011,V,4L,2015-66409
CMSC 22,2,2009-2010,Z,3L,2014-30332
CMSC 165,2,2009-2010,U,2L,2016-50305
CMSC 131,1,2011-2012,V,1L,2011-65250
CMSC 130,1,2010-2011,W,2L,2017-02732
CMSC 150,1,2006-2007,U,6L,2016-36380
CMSC 198,1,2006-2007,Y,5L,2012-54361
CMSC 2,2,2011-2012,Y,6L,2011-28960
CMSC 130,2,2007-2008,Z,1L,2011-30080
CMSC 165,2,2009-2010,Z,6L,2012-84482
CMSC 190-1,1,2010-2011,Z,4L,2015-17051
CMSC 190-2,1,2013-2014,U,2L,2015-60442
CMSC 150,1,2009-2010,Y,3L,2017-93313
CMSC 130,2,2015-2016,X,1L,2019-00327
CMSC 130,2,2008-2009,Y,2L,2013-14043
CMSC 198,1,2015-2016,W,1L,2011-13926
CMSC 150,1,2014-2015,U,1L,2018-38858
CMSC 170,1,2006-2007,X,3L,2010-35738
CMSC 22,1,2014-2015,X,4L,2014-34283
CMSC 190-2,1,2010-2011,Z,6L,2016-42438
CMSC 131,1,2015-2016,V,4L,2012-81398
CMSC 161,2,2013-2014,X,6L,2015-81625
CMSC 150,2,2012-2013,W,1L,2010-36925
CMSC 124,1,2010-2011,V,4L,2018-63255
CMSC 150,2,2006-2007,W,2L,2018-93979
CMSC 22,1,2013-2014,X,2L,2010-54161
CMSC 128,2,2012-2013,X,1L,2016-25282
CMSC 21,1,2007-2008,W,2L,2019-08121
CMSC 123,2,2014-2015,X,4L,2016-13802
CMSC 165,2,2010-2011,X,6L,2011-64541
CMSC 170,1,2011-2012,Z,5L,2015-90579
CMSC 125,2,2006-2007,X,2L,2018-50115
CMSC 150,2,2007-2008,Z,3L,2014-72702
CMSC 123,2,2011-2012,Z,3L,2016-18586
CMSC 124,2,2015-2016,Y,3L,2017-17764
CMSC 22,1,2012-2013,V,2L,2018-75099
CMSC 191,1,2007-2008,X,1L,2014-09644
CMSC 21,1,2011-2012,U,1L,2010-39104
CMSC 150,2,2008-2009,V,3L,2019-61109
CMSC 128,2,2011-2012,Y,2L,2018-13051
CMSC 123,1,2010-2011,X,1L,2011-01385
CMSC 21,1,2012-2013,W,2L,2011-00447
CMSC 11,1,2009-2010,Z,4L,2012-88338
CMSC 21,2,2008-2009,Y,1L,2019-37705
CMSC 124,1,2012-2013,V,3L,2013-91069
CMSC 161,2,2014-2015,V,1L,2019-92838
CMSC 170,1,2008-2009,X,6L,2017-87137
CMSC 165,2,2011-2012,V,4L,2017-48038
CMSC 22,2,2013-2014,U,6L,2013-28388
CMSC 161,2,2007-2008,U,1L,2015-08436
CMSC 130,2,2009-2010,W,1L,2015-05721
CMSC 2,2,2006-2007,V,4L,2013-58527
CMSC 130,1,2012-2013,X,6L,2011-50302
CMSC 11,2,2008-2009,W,4L,2016-79115
CMSC 11,1,2006-2007,W,2L,2014-83964
CMSC 198,1,2009-2010,V,6L,2013-11416
CMSC 190-2,2,2014-2015,Z,6L,2015-88659
CMSC 131,2,2006-2007,U,5L,2018-10748
CMSC 150,1,2006-2007,Z,5L,2015-59816
CMSC 124,1,2008-2009,V,5L,2012-80202
CMSC 165,2,2011-2012,Z,1L,2012-85842
CMSC 128,2,2010-2011,U,4L,2010-76893
CMSC 150,1,2008-2009,V,3L,2016-10499
CMSC 21,1,2012-2013,Y,4L,2015-58746
CMSC 132,1,2015-2016,Z,3L,2018-46018
CMSC 123,2,2010-2011,W,6L,2010-00151
CMSC 190-1,2,2011-2012,Y,5L,2018-22954
CMSC 161,2,2009-2010,U,3L,2011-71022
CMSC 190-1,1,2014-2015,W,6L,2018-39815
CMSC 130,1,2006-2007,W,3L,2017-78150
CMSC 190-2,2,2014-2015,V,6L,2010-70669
CMSC 22,2,2015-2016,V,3L,2010-95109
CMSC 161,1,2013-2014,V,1L,2017-87099
CMSC 125,2,2011-2012,W,2L,2019-95895
CMSC 190-2,1,2008-2009,X,6L,2011-59752
CMSC 21,2,2009-2010,X,1L,2017-96190
CMSC 21,2,2010-2011,X,6L,2014-11085
CMSC 130,1,2014-2015,V,1L,2014-45294
CMSC 123,2,2011-2012,V,1L,2014-11605
CMSC 125,2,2014-2015,Y,1L,2012-05690
CMSC 161,1,2010-2011,Z,3L,2016-01645
CMSC 170,1,2006-2007,X,3L,2016-27477
CMSC 165,2,2007-2008,U,2L,2012-37912
CMSC 130,2,2006-2007,V,3L,2010-43968
CMSC 150,1,2012-2013,W,2L,2010-34019
CMSC 124,1,2010-2011,Y,4L,2014-91251
CMSC 170,1,2014-2015,U,2L,2014-05537
CMSC 21,2,2011-2012,U,1L,2010-23603
CMSC 170,1,2007-2008,X,2L,2016-04447
CMSC 131,1,2012-2013,Z,2L,2017-50159
CMSC 132,2,2013-2014,X,5L,2012-01515
CMSC 198,1,2010-2011,W,1L,2015-50419
CMSC 170,1,2011-2012,W,5L,2015-57864
CMSC 170,1,2007-2008,X,6L,2012-85678
CMSC 150,1,2012-2013,W,2L,2015-65997
CMSC 131,1,2013-2014,Z,2L,2015-15344
CMSC 170,1,2013-2014,V,1L,2012-25265
CMSC 21,2,2013-2014,Y,5L,2010-40790
CMSC 150,2,2011-2012,U,6L,2018-48490
CMSC 161,2,2011-2012,X,1L,2011-41733
CMSC 128,1,2013-2014,Z,5L,2019-24797
CMSC 191,2,2015-2016,W,6L,2015-30477
CMSC 170,1,2014-2015,Y,6L,2010-60108
CMSC 123,1,2013-2014,X,4L,2016-55664
CMSC 190-2,2,2007-2008,X,3L,2014-18760
CMSC 128,2,2015-2016,V,2L,2019-48258
CMSC 150,2,2011-2012,Z,5L,2012-12221
CMSC 132,1,2007-2008,W,1L,2013-40369
CMSC 131,1,2012-2013,Z,1L,2017-67510
CMSC 190-2,1,2011-2012,X,4L,2017-97376
CMSC 190-2,1,2006-2007,X,4L,2014-39142
CMSC 161,1,2014-2015,W,2L,2016-76518
CMSC 11,2,2011-2012,U,2L,2012-76120
CMSC 161,1,2014-2015,Y,5L,2016-31654
CMSC 132,2,2015-2016,W,4L,2018-96416
CMSC 123,1,2006-2007,X,4L,2011-40768
CMSC 198,1,2013-2014,U,1L,2017-41793
CMSC 170,1,2008-2009,W,3L,2013-45424
CMSC 161,2,2010-2011,X,1L,2015-62821
CMSC 125,2,2015-2016,Z,1L,2010-72372
CMSC 128,1,2015-2016,W,1L,2017-88944
CMSC 124,1,2008-2009,W,6L,2010-41768
CMSC 130,2,2010-2011,W,3L,2012-00845
CMSC 165,1,2012-2013,W,5L,2013-65763
CMSC 2,2,2015-2016,Z,6L,2016-98038
CMSC 11,2,2010-2011,X,2L,2015-69872
CMSC 131,2,2015-2016,V,1L,2011-23291
CMSC 198,1,2013-2014,U,3L,2015-20247
CMSC 132,2,2012-2013,Z,2L,2016-64881
CMSC 2,1,2013-2014,Y,3L,2017-23245
CMSC 132,1,2012-2013,V,5L,2018-58717
CMSC 165,1,2012-2013,Y,1L,2018-56900
CMSC 123,1,2011-2012,U,3L,2010-62853
CMSC 131,2,2010-2011,Z,4L,2015-07254
CMSC 124,1,2008-2009,Y,6L,2019-31962
CMSC 165,1,2008-2009,Z,5L,2015-75532
CMSC 132,1,2007-2008,Z,3L,2014-50487
CMSC 2,1,2008-2009,V,3L,2010-80574
CMSC 11,2,2012-2013,Z,6L,2017-61641
CMSC 11,1,2015-2016,Y,3L,2018-12524
CMSC 150,1,2010-2011,U,6L,2011-61200
CMSC 2,2,2014-2015,V,3L,2012-23530
CMSC 150,2,2013-2014,U,5L,2017-83682
CMSC 130,2,2008-2009,W,1L,2018-70170
CMSC 131,2,2015-2016,Z,4L,2017-14858
CMSC 125,1,2010-2011,V,3L,2017-25608
CMSC 161,1,2007-2008,V,2L,2017-59987
CMSC 150,1,2007-2008,X,2L,2014-67827
CMSC 11,2,2013-2014,X,2L,2015-29487
CMSC 11,2,2006-2007,U,2L,2015-87046
CMSC 11,2,2012-2013,X,4L,2013-36075
CMSC 22,1,2007-2008,V,6L,2010-87677
CMSC 190-2,1,2008-2009,Z,4L,2011-49366
CMSC 123,2,2006-2007,V,1L,2018-59592
CMSC 161,2,2013-2014,V,3L,2013-89739
CMSC 125,2,2006-2007,V,3L,2014-45504
CMSC 165,1,2006-2007,X,2L,2014-94204
CMSC 11,1,2012-2013,W,2L,2012-78756
CMSC 131,1,2009-2010,Z,5L,2018-30145
CMSC 170,2,2007-2008,W,2L,2011-89505
CMSC 150,1,2009-2010,Z,5L,2016-42318
CMSC 190-2,2,2008-2009,V,3L,2018-67156
CMSC 124,2,2014-2015,W,4L,2013-96621
CMSC 131,1,2007-2008,W,3L,2019-71936
CMSC 2,1,2011-2012,Y,6L,2019-22729
CMSC 130,1,2008-2009,V,1L,2012-09019
CMSC 150,1,2006-2007,X,3L,2014-83768
CMSC 124,2,2012-2013,U,2L,2017-27573
CMSC 2,1,2008-2009,Z,1L,2015-01448
CMSC 190-1,2,2007-2008,Y,5L,2019-71368
CMSC 124,2,2015-2016,W,3L,2011-62065
CMSC 128,2,2010-2011,V,2L,2016-18361
CMSC 11,1,2006-2007,U,1L,2010-47389
CMSC 2,1,2008-2009,Z,1L,2013-69828
CMSC 198,1,2012-2013,W,5L,2017-75998
CMSC 124,2,2010-2011,Y,2L,2010-82110
CMSC 22,1,2008-2009,Y,1L,2016-16954
CMSC 11,1,2006-2007,Z,6L,2014-22049
CMSC 22,2,2012-2013,W,6L,2011-95650
CMSC 165,2,2013-2014,X,3L,2011-37417
CMSC 165,1,2009-2010,X,3L,2013-77613
CMSC 132,2,2006-2007,W,5L,2010-46807
CMSC 131,2,2007-2008,Z,3L,2012-78548
CMSC 170,1,2013-2014,W,5L,2015-53106
CMSC 2,2,2009-2010,Y,4L,2015-74227
CMSC 11,2,2010-2011,X,1L,2019-97710
CMSC 128,2,2013-2014,Z,5L,2012-26309
CMSC 21,2,2006-2007,Z,3L,2010-02667
CMSC 165,1,2012-2013,Z,1L,2011-11342
CMSC 130,1,2014-2015,Y,3L,2019-15510
CMSC 198,1,2007-2008,U,3L,2014-93209
CMSC 22,1,2008-2009,W,5L,2010-55840
CMSC 190-1,2,2010-2011,W,1L,2015-51355
CMSC 150,2,2015-2016,U,2L,2010-94747
CMSC 125,1,2008-2009,Y,1L,2010-66828
CMSC 132,1,2006-2007,V,6L,2013-27810
CMSC 11,2,2012-2013,Y,2L,2013-64436
CMSC 161,2,2011-2012,U,2L,2019-07461
CMSC 123,2,2010-2011,Z,4L,2019-60621
CMSC 165,2,2010-2011,X,2L,2016-71040
CMSC 198,2,2013-2014,W,6L,2015-13718
CMSC 128,1,2012-2013,W,1L,2017-79347
CMSC 150,2,2009-2010,X,1L,2013-74517
CMSC 198,2,2015-2016,V,2L,2015-11821
CMSC 150,2,2014-2015,U,1L,2013-25856
CMSC 165,1,2010-2011,W,6L,2012-55201
CMSC 22,2,2009-2010,U,4L,2010-03162
CMSC 124,1,2014-2015,Z,2L,2012-47297
CMSC 161,1,2014-2015,X,1L,2018-33950
CMSC 190-2,2,2015-2016,Z,2L,2015-97018
CMSC 131,2,2006-2007,U,3L,2012-18105
CMSC 2,2,2013-2014,Y,4L,2016-58277
CMSC 190-1,2,2013-2014,Z,1L,2015-42447
CMSC 128,1,2010-2011,Z,4L,2013-73160
CMSC 123,2,2011-2012,X,2L,2010-40015
CMSC 2,1,2010-2011,U,2L,2011-36004
CMSC 170,1,2010-2011,V,4L,2010-77693
CMSC 2,1,2014-2015,Z,5L,2015-96192
CMSC 132,2,2007-2008,W,3L,2019-40208
CMSC 22,1,2006-2007,W,2L,2011-98960
CMSC 22,1,2007-2008,Y,6L,2016-88377
CMSC 11,2,2009-2010,W,3L,2013-44839
CMSC 22,1,2008-2009,Y,1L,2014-74160
CMSC 11,1,2010-2011,U,3L,2018-66495
CMSC 123,2,2012-2013,X,3L,2019-55280
CMSC 2,1,2015-2016,W,6L,2019-04057
CMSC 191,2,2014-2015,Z,1L,2019-04024
CMSC 132,1,2008-2009,Z,4L,2016-85782
CMSC 11,2,2008-2009,U,4L,2018-13680
CMSC 124,1,2011-2012,Y,4L,2012-39939
CMSC 130,1,2010-2011,X,1L,2019-72769
CMSC 124,2,2010-2011,V,4L,2010-58319
CMSC 124,2,2015-2016,U,1L,2013-68308
CMSC 11,2,2008-2009,X,4L,2015-91259
CMSC 11,1,2011-2012,Z,2L,2017-41312
CMSC 11,2,2013-2014,V,1L,2017-51783
CMSC 161,2,2010-2011,W,5L,2014-49438
CMSC 22,1,2008-2009,Z,5L,2019-81536
CMSC 161,1,2009-2010,Y,5L,2011-07678
CMSC 150,1,2014-2015,X,3L,2018-53195
CMSC 132,1,2012-2013,U,1L,2015-34157
CMSC 198,1,2006-2007,V,1L,2018-08627
CMSC 190-1,1,2008-2009,U,4L,2014-92189
CMSC 125,2,2013-2014,V,6L,2019-22445
CMSC 2,1,2009-2010,W,5L,2017-69258
CMSC 198,1,2015-2016,V,3L,2010-40924
CMSC 198,1,2014-2015,W,3L,2013-12887
CMSC 190-2,1,2008-2009,U,6L,2010-52158
CMSC 21,1,2015-2016,X,3L,2018-31268
CMSC 190-1,2,2007-2008,W,6L,2010-48471
CMSC 124,2,2013-2014,W,2L,2018-09832
CMSC 21,2,2013-2014,V,6L,2016-48762
CMSC 21,2,2015-2016,Z,1L,2011-76973
CMSC 190-1,2,2015-2016,V,2L,2019-21579
CMSC 190-1,2,2013-2014,X,5L,2019-52986
CMSC 11,2,2010-2011,U,3L,2014-58695
CMSC 22,2,2010-2011,U,6L,2019-40370
CMSC 125,1,2009-2010,Z,4L,2014-11326
CMSC 132,1,2008-2009,X,6L,2010-05364
CMSC 190-2,2,2010-2011,X,1L,2016-91042
CMSC 161,2,2014-2015,V,5L,2016-40467
CMSC 125,1,2012-2013,Z,6L,2013-64743
CMSC 170,2,2010-2011,V,1L,2015-36695
CMSC 190-2,1,2011-2012,Y,4L,2012-15772
CMSC 21,2,2013-2014,V,4L,2012-66707
CMSC 170,2,2009-2010,X,5L,2017-67643
CMSC 11,1,2014-2015,W,3L,2012-15882
CMSC 130,1,2013-2014,Z,6L,2012-93650
CMSC 198,1,2012-2013,Z,6L,2012-95606
CMSC 198,2,2014-2015,Y,1L,2018-29053
CMSC 123,2,2015-2016,W,5L,2018-76803
CMSC 191,2,2014-2015,Y,1L,2016-23810
CMSC 124,2,2011-2012,U,3L,2016-77054
CMSC 130,1,2012-2013,Z,5L,2012-89435
CMSC 190-2,1,2009-2010,W,6L,2012-95448
CMSC 198,2,2012-2013,Z,4L,2018-62227
CMSC 190-1,2,2008-2009,W,6L,2018-78697
CMSC 190-1,2,2014-2015,V,1L,2013-76644
CMSC 21,1,2007-2008,Y,3L,2019-50678
CMSC 131,2,2007-2008,X,6L,2015-35951
CMSC 2,1,2009-2010,Y,3L,2012-28837
CMSC 21,2,2010-2011,Z,4L,2011-92543
CMSC 21,2,2009-2010,Y,1L,2015-08246
CMSC 190-2,2,2007-2008,Z,1L,2017-03311
CMSC 170,2,2012-2013,X,5L,2010-22204
CMSC 124,2,2007-2008,Y,5L,2011-24773
CMSC 2,1,2012-2013,Z,3L,2016-16853
CMSC 191,1,2008-2009,V,5L,2014-52535
CMSC 21,1,2009-2010,Z,4L,2017-92805
CMSC 125,1,2011-2012,W,2L,2010-19640
CMSC 190-2,1,2012-2013,Y,2L,2013-24276
CMSC 123,1,2015-2016,X,1L,2017-30103
CMSC 131,1,2013-2014,Y,2L,2017-17928
CMSC 11,2,2010-2011,W,1L,2012-04647
CMSC 161,2,2008-2009,W,5L,2015-86681
CMSC 170,1,2012-2013,Z,1L,2012-89905
CMSC 123,1,2011-2012,V,6L,2016-53361
CMSC 128,1,2015-2016,U,1L,2016-33291
CMSC 128,2,2009-2010,X,6L,2011-26602
CMSC 128,1,2015-2016,Y,4L,2013-19543
CMSC 170,1,2009-2010,X,5L,2014-90695
CMSC 131,2,2010-2011,U,4L,2012-43148
CMSC 131,2,2014-2015,W,5L,2015-72800
CMSC 125,1,2015-2016,Y,5L,2011-88769
CMSC 125,1,2009-2010,Z,6L,2013-75729
CMSC 165,2,2006-2007,W,2L,2018-14345
CMSC 11,2,2007-2008,Y,4L,2013-29328
CMSC 190-1,1,2015-2016,W,4L,2018-89096
CMSC 191,2,2013-2014,Y,3L,2016-84907
CMSC 191,1,2014-2015,Z,1L,2019-85889
CMSC 131,1,2010-2011,Y,5L,2013-18159
CMSC 22,1,2006-2007,X,2L,2010-16592
CMSC 198,2,2009-2010,U,4L,2014-41098
CMSC 165,2,2011-2012,Z,3L,2015-07958
CMSC 150,1,2009-2010,U,2L,2013-72595
CMSC 165,1,2013-2014,Z,2L,2016-09648
CMSC 198,2,2007-2008,Z,3L,2016-83385
CMSC 123,2,2011-2012,W,3L,2017-81084
CMSC 123,2,2006-2007,U,1L,2014-96921
CMSC 124,1,2014-2015,W,6L,2017-29523
CMSC 128,2,2008-2009,W,1L,2018-60617
CMSC 2,2,2007-2008,X,4L,2016-06517
CMSC 198,2,2011-2012,V,2L,2010-95877
CMSC 150,1,2013-2014,U,4L,2015-82548
CMSC 2,1,2006-2007,V,3L,2012-59254
CMSC 190-2,1,2006-2007,Y,4L,2013-74584
CMSC 165,1,2006-2007,U,6L,2013-86286
CMSC 131,1,2006-2007,X,3L,2014-93304
CMSC 21,2,2010-2011,Y,3L,2010-15769
CMSC 11,2,2012-2013,U,4L,2018-24206
CMSC 11,2,2012-2013,Z,6L,2015-36284
CMSC 190-2,2,2010-2011,U,3L,2010-05887
CMSC 161,2,2011-2012,X,1L,2011-32794
CMSC 190-2,2,2014-2015,W,2L,2015-84757
CMSC 190-1,1,2010-2011,Z,4L,2018-18264
CMSC 22,2,2014-2015,V,6L,2011-74307
CMSC 128,1,2007-2008,Z,4L,2019-63265
CMSC 123,1,2011-2012,Z,3L,2011-83128
CMSC 128,1,2014-2015,Y,5L,2015-40033
CMSC 11,1,2007-2008,U,1L,2015-78374
CMSC 21,1,2013-2014,Y,3L,2010-04590
CMSC 11,2,2015-2016,Y,1L,2014-02761
CMSC 170,2,2006-2007,V,3L,2018-00725
CMSC 170,2,2011-2012,Z,5L,2017-64581
CMSC 198,2,2015-2016,U,5L,2015-14666
CMSC 131,2,2008-2009,W,1L,2010-58498
CMSC 124,1,2008-2009,Z,1L,2018-08062
CMSC 191,2,2015-2016,Z,5L,2019-00760
CMSC 161,2,2007-2008,W,1L,2010-61980
CMSC 190-2,1,2007-2008,U,1L,2016-52494
CMSC 161,2,2012-2013,V,5L,2014-57774
CMSC 124,1,2012-2013,V,6L,2010-26642
CMSC 123,2,2010-2011,W,4L,2016-97682
CMSC 124,2,2006-2007,V,1L,2011-05278
CMSC 131,2,2014-2015,Y,1L,2014-16152
CMSC 21,1,2014-2015,Z,5L,2018-76136
CMSC 11,1,2012-2013,Z,4L,2019-35684
CMSC 22,1,2008-2009,X,4L,2011-02383
CMSC 161,2,2010-2011,Z,2L,2019-48343
CMSC 131,2,2012-2013,W,5L,2014-19495
CMSC 161,1,2012-2013,W,2L,2016-80367
CMSC 165,1,2015-2016,W,6L,2012-56633
CMSC 170,2,2014-2015,U,6L,2010-66594
CMSC 190-1,1,2009-2010,X,2L,2018-04221
CMSC 124,2,2006-2007,X,4L,2012-80153
CMSC 131,2,2014-2015,U,6L,2017-94734
CMSC 2,1,2011-2012,W,2L,2014-53882
CMSC 165,1,2013-2014,V,2L,2018-80807
CMSC 2,1,2011-2012,W,2L,2014-19873
CMSC 165,2,2010-2011,U,3L,2018-40832
CMSC 2,2,2007-2008,V,6L,2016-36556
CMSC 150,2,2011-2012,V,5L,2011-08261
CMSC 124,1,2013-2014,V,1L,2013-32512
CMSC 131,1,2008-2009,Z,1L,2016-35579
CMSC 125,1,2006-2007,V,2L,2019-26093
CMSC 130,2,2010-2011,X,3L,2016-47166
CMSC 170,2,2012-2013,W,6L,2013-17343
CMSC 150,2,2009-2010,Y,1L,2018-50154
CMSC 125,1,2015-2016,X,1L,2010-02817
CMSC 165,2,2014-2015,U,6L,2014-96418
CMSC 123,2,2015-2016,W,1L,2016-39755
CMSC 123,2,2007-2008,X,3L,2017-58801
CMSC 11,1,2006-2007,Z,5L,2017-92121
CMSC 125,1,2014-2015,W,5L,2012-01389
CMSC 2,2,2014-2015,Z,4L,2011-73382
CMSC 190-2,2,2015-2016,V,5L,2018-32374
CMSC 124,1,2014-2015,U,4L,2013-50815
CMSC 191,1,2010-2011,Y,6L,2011-52985
CMSC 161,1,2008-2009,Y,1L,2017-02132
CMSC 198,1,2006-2007,W,2L,2014-43933
CMSC 125,1,2009-2010,X,6L,2010-17887
CMSC 125,1,2006-2007,X,3L,2011-09671
CMSC 165,2,2007-2008,W,1L,2017-12601
CMSC 190-1,2,2013-2014,U,1L,2015-06349
CMSC 165,1,2010-2011,X,3L,2011-50213
CMSC 2,1,2013-2014,X,5L,2018-63193
CMSC 124,2,2014-2015,V,3L,2010-65598
CMSC 190-2,2,2013-2014,U,6L,2017-33141
CMSC 165,1,2011-2012,U,1L,2012-83375
CMSC 191,1,2011-2012,W,3L,2010-91871
CMSC 132,1,2007-2008,V,3L,2014-79733
CMSC 2,2,2007-2008,Y,5L,2017-82213
CMSC 125,1,2014-2015,W,5L,2013-84164
CMSC 132,2,2008-2009,Y,5L,2015-72706
﻿courseno,semester,acadyear,lectsection,labsection,studentno
CMSC 132,2,2011-2012,V,3L,2014-14331
CMSC 198,2,2011-2012,V,6L,2015-38291
CMSC 161,2,2014-2015,X,4L,2012-22734
CMSC 170,2,2006-2007,X,6L,2018-00525
CMSC 161,2,2009-2010,X,6L,2014-33720
CMSC 150,2,2008-2009,X,5L,2011-52702
CMSC 198,2,2007-2008,V,6L,2010-02862
CMSC 21,1,2012-2013,U,6L,2012-24256
CMSC 191,1,2006-2007,W,3L,2013-48954
CMSC 21,1,2011-2012,X,5L,2017-70497
CMSC 123,1,2011-2012,Y,1L,2018-31139
CMSC 190-2,1,2014-2015,Z,4L,2014-80178
CMSC 11,2,2006-2007,W,3L,2016-83365
CMSC 131,1,2011-2012,Z,3L,2015-71296
CMSC 124,2,2009-2010,X,4L,2016-55310
CMSC 190-1,1,2011-2012,Y,1L,2016-53887
CMSC 190-1,1,2009-2010,W,2L,2015-76527
CMSC 130,1,2011-2012,U,3L,2014-90218
CMSC 131,2,2008-2009,V,1L,2014-89425
CMSC 2,1,2011-2012,W,2L,2010-57409
CMSC 21,1,2013-2014,W,1L,2018-45182
CMSC 123,1,2006-2007,X,6L,2015-63702
CMSC 131,1,2007-2008,W,3L,2016-06168
CMSC 128,1,2007-2008,W,5L,2015-09743
CMSC 150,1,2012-2013,U,4L,2019-77960
CMSC 191,1,2013-2014,Y,4L,2019-70540
CMSC 132,1,2012-2013,Z,2L,2012-34946
CMSC 123,2,2009-2010,V,6L,2018-13085
CMSC 198,2,2010-2011,V,1L,2019-08478
CMSC 150,1,2015-2016,W,4L,2012-53975
CMSC 190-1,2,2007-2008,X,1L,2014-18851
CMSC 132,1,2014-2015,V,2L,2010-12750
CMSC 190-1,1,2006-2007,X,4L,2015-81705
CMSC 22,2,2015-2016,U,5L,2012-29111
CMSC 198,1,2015-2016,Y,3L,2014-54056
CMSC 22,1,2012-2013,U,4L,2015-13210
CMSC 130,1,2011-2012,W,4L,2016-71188
CMSC 198,1,2007-2008,Z,5L,2012-52025
CMSC 130,2,2008-2009,Y,2L,2012-32135
CMSC 21,2,2012-2013,Y,2L,2016-66549
CMSC 170,1,2006-2007,W,3L,2013-03280
CMSC 198,1,2007-2008,U,4L,2012-67099
CMSC 190-1,1,2008-2009,Y,4L,2015-18428
CMSC 2,1,2009-2010,Y,6L,2018-46332
CMSC 128,1,2015-2016,Y,4L,2011-11967
CMSC 198,1,2011-2012,Y,6L,2010-45139
CMSC 11,1,2011-2012,V,5L,2012-70177
CMSC 2,2,2012-2013,U,4L,2016-75964
CMSC 190-2,1,2014-2015,X,6L,2017-14052
CMSC 161,1,2008-2009,V,3L,2017-05156
CMSC 124,1,2014-2015,Y,1L,2017-34494
CMSC 165,2,2015-2016,U,1L,2012-01995
CMSC 150,2,2009-2010,V,1L,2016-56717
CMSC 130,1,2012-2013,Z,5L,2015-95282
CMSC 128,2,2015-2016,U,2L,2010-65374
CMSC 21,1,2015-2016,X,4L,2018-04921
CMSC 190-2,2,2011-2012,Y,6L,2019-00245
CMSC 125,2,2006-2007,Z,5L,2013-51670
CMSC 132,1,2010-2011,W,2L,2014-25633
CMSC 150,1,2007-2008,V,4L,2013-17509
CMSC 132,2,2015-2016,X,2L,2013-48017
CMSC 128,2,2009-2010,Z,2L,2014-85109
CMSC 190-2,2,2014-2015,Y,3L,2014-45701
CMSC 11,1,2009-2010,V,3L,2013-25445
CMSC 190-2,2,2006-2007,Y,6L,2018-14402
CMSC 123,2,2012-2013,Y,1L,2011-30920
CMSC 190-2,2,2010-2011,W,5L,2016-83180
CMSC 11,1,2015-2016,Z,6L,2013-23163
CMSC 123,1,2007-2008,U,3L,2010-41804
CMSC 125,2,2009-2010,Y,4L,2011-52052
CMSC 21,1,2013-2014,W,3L,2013-95525
CMSC 190-1,1,2009-2010,Y,1L,2017-04310
CMSC 11,2,2014-2015,V,3L,2017-33698
